Label,asds,Site,X(East),Y(North),Z,Valid,Manufact.,Type-generator,"Power, rated",Rotor diameter,Hub height,Row data/Description,Creator,Name,User label,Result,Efficiency,Regional / Correction Factor,Equivalent roughness,Free mean wind speed,HP-value,Calculated prod. without new WTGs,Actual wind corrected energy,Goodness Factor,A (Sum),k (Sum),A (0),k (0),f (0),A (1),k (1),f (1),A (2),k (2),f (2),A (3),k (3),f (3),A (4),k (4),f (4),A (5),k (5),f (5),A (6),k (6),f (6),A (7),k (7),f (7),A (8),k (8),f (8),A (9),k (9),f (9),A (10),k (10),f (10),A (11),k (11),f (11),Air density,Displacement height,Decrease due to obstacles,Increase due to hills,Sensitivity
2,New,C,"251,357","803,709",640,Yes,Envision,"V105-3.45MW-3,450","3,450",105,80,OT27,USER,Noise Mode = 0,OT27,"13,501.17",94.8131,1,0.9,8.75,95.7,0,0,,9.86,1.928,6.55,1.775,2.7,6.43,1.658,2.2,6.74,1.486,1.6,6.89,1.471,1.4,6.65,1.467,1.2,6.78,1.564,1.1,7.03,1.936,1.1,6.83,1.904,1,6.32,1.721,0.7,5.9,1.592,0.6,6.62,1.529,0.8,7.92,1.701,1.1,9.22,1.709,1.3,10.22,1.709
3,New,C,"251,814","804,074",633.1,Yes,Envision,"V105-3.45MW-3,450","3,450",105,80,OT28,USER,Noise Mode = 0,OT28,"13,151.34",92.9172,1,1,8.71,95.7,0,0,,9.82,1.928,6.49,1.771,2.7,6.38,1.654,2.1,6.67,1.486,1.6,6.82,1.471,1.4,6.56,1.467,1.2,6.7,1.553,1,6.99,1.936,1.1,6.82,1.912,1,6.33,1.725,0.8,5.88,1.596,0.6,6.63,1.529,0.8,7.93,1.701,1.1,9.24,1.709,1.3,10.26,1.709
4,New,C,"252,254","804,397",655.4,Yes,Envision,"V105-3.45MW-3,450","3,450",105,80,OT29,USER,Noise Mode = 0,OT29,"13,993.31",92.4842,1,0.6,9.19,96.1,0,0,,10.37,1.932,6.81,1.74,2.6,6.66,1.627,2,6.9,1.486,1.5,6.99,1.471,1.3,6.72,1.471,1.1,6.83,1.51,1,7.26,1.936,1.1,7.22,1.947,1,6.75,1.74,0.8,6.32,1.611,0.6,7.07,1.529,0.8,8.49,1.678,1.1,9.99,1.701,1.3,11.26,1.709
5,New,C,"252,856","804,247",654.4,Yes,Envision,"V105-3.45MW-3,450","3,450",105,80,OT30,USER,Noise Mode = 0,OT30,"13,022.53",91.2034,1,0.9,8.77,95.7,0,0,,9.89,1.928,6.66,1.744,2.7,6.45,1.623,2,6.64,1.486,1.6,6.67,1.471,1.3,6.5,1.463,1.1,6.64,1.561,1,6.86,1.936,1,6.74,1.928,0.9,6.29,1.74,0.7,5.84,1.6,0.6,6.57,1.529,0.8,7.85,1.67,1,9.23,1.693,1.3,10.51,1.709
6,New,C,"253,479","804,310",689.4,Yes,Envision,"V105-3.45MW-3,450","3,450",105,80,OT31,USER,Noise Mode = 0,OT31,"14,126.04",93.0034,1,0.6,9.23,96.2,0,0,,10.41,1.928,6.55,1.732,2.3,6.35,1.615,1.8,6.57,1.486,1.4,6.8,1.471,1.2,6.64,1.479,1.1,6.68,1.432,0.9,7.24,1.893,1,7.34,1.947,1,7.08,1.791,0.8,6.7,1.643,0.7,7.34,1.529,0.8,8.91,1.67,1.2,10.6,1.701,1.5,11.87,1.717
7,New,C,"251,800","803,380",653.4,Yes,Envision,"V105-3.45MW-3,450","3,450",105,80,OT32,USER,Noise Mode = 0,OT32,"13,332.70",94.6137,1,1,8.67,95.6,0,0,,9.78,1.932,6.3,1.752,2.6,6.18,1.654,2,6.46,1.49,1.5,6.68,1.471,1.3,6.47,1.475,1.2,6.6,1.475,1,7.03,1.932,1.1,6.99,1.939,1,6.53,1.74,0.8,6.05,1.6,0.7,6.84,1.529,0.8,8.21,1.709,1.1,9.6,1.713,1.4,10.54,1.713
8,New,C,"252,385","803,820",661.5,Yes,Envision,"V105-3.45MW-3,450","3,450",105,80,OT33,USER,Noise Mode = 0,OT33,"13,217.50",91.471,1,0.9,8.85,95.8,0,0,,9.98,1.932,6.53,1.756,2.6,6.34,1.65,2,6.64,1.486,1.6,6.78,1.471,1.3,6.62,1.471,1.2,6.77,1.498,1,7.14,1.936,1.1,7.06,1.932,1,6.58,1.736,0.8,6.09,1.6,0.6,6.89,1.529,0.8,8.26,1.701,1.1,9.65,1.709,1.3,10.68,1.713
9,New,C,"252,517","803,291",667.7,Yes,Envision,"V105-3.45MW-3,450","3,450",105,80,OT34,USER,Noise Mode = 0,OT34,"13,117.68",93.6577,1,1,8.63,95.6,0,0,,9.73,1.932,6.27,1.744,2.5,6.07,1.643,1.9,6.32,1.486,1.5,6.51,1.471,1.3,6.4,1.475,1.2,6.46,1.451,1,6.94,1.932,1.1,6.95,1.951,1,6.54,1.752,0.8,6.11,1.611,0.7,6.84,1.529,0.8,8.24,1.693,1.1,9.71,1.709,1.4,10.69,1.713
10,New,C,"252,974","803,638",683,Yes,Envision,"V105-3.45MW-3,450","3,450",105,80,OT35,USER,Noise Mode = 0,OT35,"13,426.98",91.3324,1,0.8,8.97,96,0,0,,10.12,1.932,6.57,1.736,2.5,6.36,1.627,1.9,6.56,1.486,1.5,6.74,1.471,1.3,6.59,1.471,1.1,6.65,1.467,0.9,7.11,1.932,1.1,7.11,1.951,1,6.72,1.756,0.8,6.32,1.623,0.7,7.02,1.529,0.8,8.46,1.678,1.1,10.01,1.701,1.4,11.2,1.713
11,New,C,"253,529","803,673",684.7,Yes,Envision,"V105-3.45MW-3,450","3,450",105,80,OT36,USER,Noise Mode = 0,OT36,"13,706.63",93.3111,1,0.8,8.97,96,0,0,,10.11,1.932,6.36,1.736,2.4,6.15,1.627,1.8,6.45,1.486,1.4,6.71,1.471,1.2,6.53,1.479,1.1,6.58,1.432,0.9,7.14,1.9,1.1,7.21,1.947,1,6.9,1.779,0.8,6.5,1.631,0.7,7.18,1.529,0.9,8.69,1.682,1.2,10.27,1.705,1.5,11.42,1.713
12,New,C,"254,202","803,779",645.6,Yes,Envision,"V105-3.45MW-3,450","3,450",105,80,OT37,USER,Noise Mode = 0,OT37,"12,861.36",94.8856,1,1.3,8.43,95.4,0,0,,9.5,1.928,6.25,1.771,2.7,6.17,1.654,2.1,6.5,1.486,1.6,6.64,1.471,1.4,6.44,1.467,1.2,6.54,1.557,1,6.76,1.936,1.1,6.59,1.908,1,6.1,1.725,0.7,5.67,1.596,0.6,6.4,1.529,0.8,7.65,1.697,1.1,8.87,1.705,1.3,9.92,1.717
13,New,C,"254,208","804,302",652.4,Yes,Envision,"V105-3.45MW-3,450","3,450",105,80,OT38,USER,Noise Mode = 0,OT38,"13,266.88",93.4156,1,0.9,8.74,95.7,0,0,,9.85,1.924,6.62,1.76,2.8,6.53,1.627,2.1,6.82,1.482,1.6,6.83,1.471,1.4,6.58,1.459,1.1,6.69,1.604,1,6.82,1.936,1,6.62,1.908,0.9,6.16,1.732,0.7,5.71,1.6,0.6,6.45,1.529,0.7,7.68,1.67,1,8.97,1.693,1.2,10.24,1.713
14,New,C,"251,215","802,400",677.1,Yes,Envision,"V105-3.45MW-3,450","3,450",105,80,OT41,USER,Noise Mode = 0,OT41,"13,806.52",98.6503,1,1,8.66,95.6,0,0,,9.76,1.908,6.47,1.83,2.7,6.42,1.701,2.4,6.72,1.518,1.9,7.11,1.471,1.6,6.94,1.467,1.4,7.11,1.6,1.2,7.22,1.939,1.2,6.8,1.85,0.9,6.15,1.674,0.7,6.04,1.553,0.7,6.72,1.576,0.8,7.59,1.713,1,8.72,1.717,1.2,9.5,1.717
15,New,C,"251,716","802,751",671.2,Yes,Envision,"V105-3.45MW-3,450","3,450",105,80,OT43,USER,Noise Mode = 0,OT43,"13,183.01",95.6213,1,1.2,8.54,95.5,0,0,,9.63,1.92,5.98,1.768,2.4,5.89,1.682,2,6.16,1.51,1.6,6.5,1.475,1.4,6.51,1.479,1.3,6.6,1.436,1.1,7.17,1.893,1.2,7.2,1.943,1.1,6.69,1.729,0.9,6.31,1.576,0.7,7.22,1.561,0.9,8.54,1.705,1.2,9.73,1.713,1.5,10.49,1.791
16,New,C,"252,488","802,622",692.7,Yes,Envision,"V105-3.45MW-3,450","3,450",105,80,OT44,USER,Noise Mode = 0,OT44,"13,650.15",96.7118,1,1,8.69,95.6,0,0,,9.8,1.924,6.14,1.717,2.2,5.96,1.6,1.7,6.1,1.486,1.3,6.24,1.471,1.1,6.08,1.479,1.1,6.15,1.432,0.9,6.66,1.818,1,6.85,1.943,1,6.75,1.83,0.9,6.46,1.666,0.7,6.96,1.533,0.8,8.56,1.654,1.2,10.28,1.701,1.6,11.59,1.732
17,New,C,"253,107","803,083",686.8,Yes,Envision,"V105-3.45MW-3,450","3,450",105,80,OT46,USER,Noise Mode = 0,OT46,"13,763.74",94.8951,1,0.9,8.87,95.9,0,0,,10.01,1.932,6.36,1.74,2.4,6.12,1.643,1.8,6.41,1.49,1.4,6.7,1.471,1.3,6.53,1.479,1.2,6.59,1.432,1,7.14,1.904,1.1,7.21,1.951,1,6.85,1.768,0.8,6.41,1.619,0.7,7.14,1.533,0.9,8.63,1.693,1.2,10.17,1.709,1.4,11.17,1.713
1,New,C,"250,865","803,361",653.3,Yes,Envision,"V105-3.6MW-3,600","3,600",105,80,OT26,USER,Power Mode = 3600,OT26,"14,389.39",98.1706,1,0.9,8.8,95.9,0,0,,9.92,1.932,6.47,1.775,2.6,6.33,1.67,2.1,6.69,1.486,1.6,6.91,1.471,1.4,6.7,1.471,1.2,6.81,1.525,1,7.16,1.936,1.1,7.01,1.916,1,6.49,1.725,0.8,6.07,1.588,0.6,6.78,1.529,0.8,8.16,1.717,1.1,9.46,1.709,1.3,10.4,1.709
2,New,C,"251,357","803,709",640,Yes,Envision,"V105-3.6MW-3,600","3,600",105,80,OT27,USER,Power Mode = 3600,OT27,"13,788.48",94.7442,1,0.9,8.75,95.8,0,0,,9.86,1.928,6.55,1.775,2.7,6.43,1.658,2.2,6.74,1.486,1.6,6.89,1.471,1.4,6.65,1.467,1.2,6.78,1.564,1.1,7.03,1.936,1.1,6.83,1.904,1,6.32,1.721,0.7,5.9,1.592,0.6,6.62,1.529,0.8,7.92,1.701,1.1,9.22,1.709,1.3,10.22,1.709
3,New,C,"251,814","804,074",633.1,Yes,Envision,"V105-3.6MW-3,600","3,600",105,80,OT28,USER,Power Mode = 3600,OT28,"13,424.47",92.8168,1,1,8.71,95.8,0,0,,9.82,1.928,6.49,1.771,2.7,6.38,1.654,2.1,6.67,1.486,1.6,6.82,1.471,1.4,6.56,1.467,1.2,6.7,1.553,1,6.99,1.936,1.1,6.82,1.912,1,6.33,1.725,0.8,5.88,1.596,0.6,6.63,1.529,0.8,7.93,1.701,1.1,9.24,1.709,1.3,10.26,1.709
4,New,C,"252,254","804,397",655.4,Yes,Envision,"V105-3.6MW-3,600","3,600",105,80,OT29,USER,Power Mode = 3600,OT29,"14,303.31",92.369,1,0.6,9.19,96.2,0,0,,10.37,1.932,6.81,1.74,2.6,6.66,1.627,2,6.9,1.486,1.5,6.99,1.471,1.3,6.72,1.471,1.1,6.83,1.51,1,7.26,1.936,1.1,7.22,1.947,1,6.75,1.74,0.8,6.32,1.611,0.6,7.07,1.529,0.8,8.49,1.678,1.1,9.99,1.701,1.3,11.26,1.709
5,New,C,"252,856","804,247",654.4,Yes,Envision,"V105-3.6MW-3,600","3,600",105,80,OT30,USER,Power Mode = 3600,OT30,"13,292.59",91.0859,1,0.9,8.77,95.9,0,0,,9.89,1.928,6.66,1.744,2.7,6.45,1.623,2,6.64,1.486,1.6,6.67,1.471,1.3,6.5,1.463,1.1,6.64,1.561,1,6.86,1.936,1,6.74,1.928,0.9,6.29,1.74,0.7,5.84,1.6,0.6,6.57,1.529,0.8,7.85,1.67,1,9.23,1.693,1.3,10.51,1.709
6,New,C,"253,479","804,310",689.4,Yes,Envision,"V105-3.6MW-3,600","3,600",105,80,OT31,USER,Power Mode = 3600,OT31,"14,444.20",92.915,1,0.6,9.23,96.2,0,0,,10.41,1.928,6.55,1.732,2.3,6.35,1.615,1.8,6.57,1.486,1.4,6.8,1.471,1.2,6.64,1.479,1.1,6.68,1.432,0.9,7.24,1.893,1,7.34,1.947,1,7.08,1.791,0.8,6.7,1.643,0.7,7.34,1.529,0.8,8.91,1.67,1.2,10.6,1.701,1.5,11.87,1.717
7,New,C,"251,800","803,380",653.4,Yes,Envision,"V105-3.6MW-3,600","3,600",105,80,OT32,USER,Power Mode = 3600,OT32,"13,616.38",94.5731,1,1,8.67,95.8,0,0,,9.78,1.932,6.3,1.752,2.6,6.18,1.654,2,6.46,1.49,1.5,6.68,1.471,1.3,6.47,1.475,1.2,6.6,1.475,1,7.03,1.932,1.1,6.99,1.939,1,6.53,1.74,0.8,6.05,1.6,0.7,6.84,1.529,0.8,8.21,1.709,1.1,9.6,1.713,1.4,10.54,1.713
8,New,C,"252,385","803,820",661.5,Yes,Envision,"V105-3.6MW-3,600","3,600",105,80,OT33,USER,Power Mode = 3600,OT33,"13,498.87",91.3777,1,0.9,8.85,96,0,0,,9.98,1.932,6.53,1.756,2.6,6.34,1.65,2,6.64,1.486,1.6,6.78,1.471,1.3,6.62,1.471,1.2,6.77,1.498,1,7.14,1.936,1.1,7.06,1.932,1,6.58,1.736,0.8,6.09,1.6,0.6,6.89,1.529,0.8,8.26,1.701,1.1,9.65,1.709,1.3,10.68,1.713
9,New,C,"252,517","803,291",667.7,Yes,Envision,"V105-3.6MW-3,600","3,600",105,80,OT34,USER,Power Mode = 3600,OT34,"13,392.42",93.603,1,1,8.63,95.7,0,0,,9.73,1.932,6.27,1.744,2.5,6.07,1.643,1.9,6.32,1.486,1.5,6.51,1.471,1.3,6.4,1.475,1.2,6.46,1.451,1,6.94,1.932,1.1,6.95,1.951,1,6.54,1.752,0.8,6.11,1.611,0.7,6.84,1.529,0.8,8.24,1.693,1.1,9.71,1.709,1.4,10.69,1.713
10,New,C,"252,974","803,638",683,Yes,Envision,"V105-3.6MW-3,600","3,600",105,80,OT35,USER,Power Mode = 3600,OT35,"13,717.51",91.2376,1,0.8,8.97,96.1,0,0,,10.12,1.932,6.57,1.736,2.5,6.36,1.627,1.9,6.56,1.486,1.5,6.74,1.471,1.3,6.59,1.471,1.1,6.65,1.467,0.9,7.11,1.932,1.1,7.11,1.951,1,6.72,1.756,0.8,6.32,1.623,0.7,7.02,1.529,0.8,8.46,1.678,1.1,10.01,1.701,1.4,11.2,1.713
11,New,C,"253,529","803,673",684.7,Yes,Envision,"V105-3.6MW-3,600","3,600",105,80,OT36,USER,Power Mode = 3600,OT36,"14,007.72",93.2465,1,0.8,8.97,96.1,0,0,,10.11,1.932,6.36,1.736,2.4,6.15,1.627,1.8,6.45,1.486,1.4,6.71,1.471,1.2,6.53,1.479,1.1,6.58,1.432,0.9,7.14,1.9,1.1,7.21,1.947,1,6.9,1.779,0.8,6.5,1.631,0.7,7.18,1.529,0.9,8.69,1.682,1.2,10.27,1.705,1.5,11.42,1.713
12,New,C,"254,202","803,779",645.6,Yes,Envision,"V105-3.6MW-3,600","3,600",105,80,OT37,USER,Power Mode = 3600,OT37,"13,124.83",94.8481,1,1.3,8.43,95.6,0,0,,9.5,1.928,6.25,1.771,2.7,6.17,1.654,2.1,6.5,1.486,1.6,6.64,1.471,1.4,6.44,1.467,1.2,6.54,1.557,1,6.76,1.936,1.1,6.59,1.908,1,6.1,1.725,0.7,5.67,1.596,0.6,6.4,1.529,0.8,7.65,1.697,1.1,8.87,1.705,1.3,9.92,1.717
13,New,C,"254,208","804,302",652.4,Yes,Envision,"V105-3.6MW-3,600","3,600",105,80,OT38,USER,Power Mode = 3600,OT38,"13,545.60",93.3264,1,0.9,8.74,95.8,0,0,,9.85,1.924,6.62,1.76,2.8,6.53,1.627,2.1,6.82,1.482,1.6,6.83,1.471,1.4,6.58,1.459,1.1,6.69,1.604,1,6.82,1.936,1,6.62,1.908,0.9,6.16,1.732,0.7,5.71,1.6,0.6,6.45,1.529,0.7,7.68,1.67,1,8.97,1.693,1.2,10.24,1.713
14,New,C,"251,215","802,400",677.1,Yes,Envision,"V105-3.6MW-3,600","3,600",105,80,OT41,USER,Power Mode = 3600,OT41,"14,108.16",98.6529,1,1,8.66,95.7,0,0,,9.76,1.908,6.47,1.83,2.7,6.42,1.701,2.4,6.72,1.518,1.9,7.11,1.471,1.6,6.94,1.467,1.4,7.11,1.6,1.2,7.22,1.939,1.2,6.8,1.85,0.9,6.15,1.674,0.7,6.04,1.553,0.7,6.72,1.576,0.8,7.59,1.713,1,8.72,1.717,1.2,9.5,1.717
15,New,C,"251,716","802,751",671.2,Yes,Envision,"V105-3.6MW-3,600","3,600",105,80,OT43,USER,Power Mode = 3600,OT43,"13,457.20",95.5753,1,1.2,8.54,95.7,0,0,,9.63,1.92,5.98,1.768,2.4,5.89,1.682,2,6.16,1.51,1.6,6.5,1.475,1.4,6.51,1.479,1.3,6.6,1.436,1.1,7.17,1.893,1.2,7.2,1.943,1.1,6.69,1.729,0.9,6.31,1.576,0.7,7.22,1.561,0.9,8.54,1.705,1.2,9.73,1.713,1.5,10.49,1.791
16,New,C,"252,488","802,622",692.7,Yes,Envision,"V105-3.6MW-3,600","3,600",105,80,OT44,USER,Power Mode = 3600,OT44,"13,944.16",96.6982,1,1,8.69,95.8,0,0,,9.8,1.924,6.14,1.717,2.2,5.96,1.6,1.7,6.1,1.486,1.3,6.24,1.471,1.1,6.08,1.479,1.1,6.15,1.432,0.9,6.66,1.818,1,6.85,1.943,1,6.75,1.83,0.9,6.46,1.666,0.7,6.96,1.533,0.8,8.56,1.654,1.2,10.28,1.701,1.6,11.59,1.732
17,New,C,"253,107","803,083",686.8,Yes,Envision,"V105-3.6MW-3,600","3,600",105,80,OT46,USER,Power Mode = 3600,OT46,"14,065.39",94.8531,1,0.9,8.87,96,0,0,,10.01,1.932,6.36,1.74,2.4,6.12,1.643,1.8,6.41,1.49,1.4,6.7,1.471,1.3,6.53,1.479,1.2,6.59,1.432,1,7.14,1.904,1.1,7.21,1.951,1,6.85,1.768,0.8,6.41,1.619,0.7,7.14,1.533,0.9,8.63,1.693,1.2,10.17,1.709,1.4,11.17,1.713
1,New,C,"250,865","803,361",653.3,Yes,Envision,"V117-3.0MW-3,000","3,000",117,80,OT26,USER,Power Mode = 3000; Serrations = True,OT26,"14,136.05",98.1301,1,0.9,8.8,98.3,0,0,,9.92,1.932,6.47,1.775,2.6,6.33,1.67,2.1,6.69,1.486,1.6,6.91,1.471,1.4,6.7,1.471,1.2,6.81,1.525,1,7.16,1.936,1.1,7.01,1.916,1,6.49,1.725,0.8,6.07,1.588,0.6,6.78,1.529,0.8,8.16,1.717,1.1,9.46,1.709,1.3,10.4,1.709
2,New,C,"251,357","803,709",640,Yes,Envision,"V117-3.0MW-3,000","3,000",117,80,OT27,USER,Power Mode = 3000; Serrations = True,OT27,"13,604.07",94.9892,1,0.9,8.75,98.2,0,0,,9.86,1.928,6.55,1.775,2.7,6.43,1.658,2.2,6.74,1.486,1.6,6.89,1.471,1.4,6.65,1.467,1.2,6.78,1.564,1.1,7.03,1.936,1.1,6.83,1.904,1,6.32,1.721,0.7,5.9,1.592,0.6,6.62,1.529,0.8,7.92,1.701,1.1,9.22,1.709,1.3,10.22,1.709
3,New,C,"251,814","804,074",633.1,Yes,Envision,"V117-3.0MW-3,000","3,000",117,80,OT28,USER,Power Mode = 3000; Serrations = True,OT28,"13,279.88",93.1819,1,1,8.71,98.1,0,0,,9.82,1.928,6.49,1.771,2.7,6.38,1.654,2.1,6.67,1.486,1.6,6.82,1.471,1.4,6.56,1.467,1.2,6.7,1.553,1,6.99,1.936,1.1,6.82,1.912,1,6.33,1.725,0.8,5.88,1.596,0.6,6.63,1.529,0.8,7.93,1.701,1.1,9.24,1.709,1.3,10.26,1.709
4,New,C,"252,254","804,397",655.4,Yes,Envision,"V117-3.0MW-3,000","3,000",117,80,OT29,USER,Power Mode = 3000; Serrations = True,OT29,"13,971.98",92.8177,1,0.6,9.19,99,0,0,,10.37,1.932,6.81,1.74,2.6,6.66,1.627,2,6.9,1.486,1.5,6.99,1.471,1.3,6.72,1.471,1.1,6.83,1.51,1,7.26,1.936,1.1,7.22,1.947,1,6.75,1.74,0.8,6.32,1.611,0.6,7.07,1.529,0.8,8.49,1.678,1.1,9.99,1.701,1.3,11.26,1.709
5,New,C,"252,856","804,247",654.4,Yes,Envision,"V117-3.0MW-3,000","3,000",117,80,OT30,USER,Power Mode = 3000; Serrations = True,OT30,"13,133.44",91.4829,1,0.9,8.77,98.2,0,0,,9.89,1.928,6.66,1.744,2.7,6.45,1.623,2,6.64,1.486,1.6,6.67,1.471,1.3,6.5,1.463,1.1,6.64,1.561,1,6.86,1.936,1,6.74,1.928,0.9,6.29,1.74,0.7,5.84,1.6,0.6,6.57,1.529,0.8,7.85,1.67,1,9.23,1.693,1.3,10.51,1.709
6,New,C,"253,479","804,310",689.4,Yes,Envision,"V117-3.0MW-3,000","3,000",117,80,OT31,USER,Power Mode = 3000; Serrations = True,OT31,"14,081.48",93.2428,1,0.6,9.23,99,0,0,,10.41,1.928,6.55,1.732,2.3,6.35,1.615,1.8,6.57,1.486,1.4,6.8,1.471,1.2,6.64,1.479,1.1,6.68,1.432,0.9,7.24,1.893,1,7.34,1.947,1,7.08,1.791,0.8,6.7,1.643,0.7,7.34,1.529,0.8,8.91,1.67,1.2,10.6,1.701,1.5,11.87,1.717
7,New,C,"251,800","803,380",653.4,Yes,Envision,"V117-3.0MW-3,000","3,000",117,80,OT32,USER,Power Mode = 3000; Serrations = True,OT32,"13,429.54",94.5441,1,1,8.67,98,0,0,,9.78,1.932,6.3,1.752,2.6,6.18,1.654,2,6.46,1.49,1.5,6.68,1.471,1.3,6.47,1.475,1.2,6.6,1.475,1,7.03,1.932,1.1,6.99,1.939,1,6.53,1.74,0.8,6.05,1.6,0.7,6.84,1.529,0.8,8.21,1.709,1.1,9.6,1.713,1.4,10.54,1.713
8,New,C,"252,385","803,820",661.5,Yes,Envision,"V117-3.0MW-3,000","3,000",117,80,OT33,USER,Power Mode = 3000; Serrations = True,OT33,"13,292.32",91.6875,1,0.9,8.85,98.4,0,0,,9.98,1.932,6.53,1.756,2.6,6.34,1.65,2,6.64,1.486,1.6,6.78,1.471,1.3,6.62,1.471,1.2,6.77,1.498,1,7.14,1.936,1.1,7.06,1.932,1,6.58,1.736,0.8,6.09,1.6,0.6,6.89,1.529,0.8,8.26,1.701,1.1,9.65,1.709,1.3,10.68,1.713
9,New,C,"252,517","803,291",667.7,Yes,Envision,"V117-3.0MW-3,000","3,000",117,80,OT34,USER,Power Mode = 3000; Serrations = True,OT34,"13,223.48",93.5438,1,1,8.63,98,0,0,,9.73,1.932,6.27,1.744,2.5,6.07,1.643,1.9,6.32,1.486,1.5,6.51,1.471,1.3,6.4,1.475,1.2,6.46,1.451,1,6.94,1.932,1.1,6.95,1.951,1,6.54,1.752,0.8,6.11,1.611,0.7,6.84,1.529,0.8,8.24,1.693,1.1,9.71,1.709,1.4,10.69,1.713
10,New,C,"252,974","803,638",683,Yes,Envision,"V117-3.0MW-3,000","3,000",117,80,OT35,USER,Power Mode = 3000; Serrations = True,OT35,"13,451.70",91.4685,1,0.8,8.97,98.6,0,0,,10.12,1.932,6.57,1.736,2.5,6.36,1.627,1.9,6.56,1.486,1.5,6.74,1.471,1.3,6.59,1.471,1.1,6.65,1.467,0.9,7.11,1.932,1.1,7.11,1.951,1,6.72,1.756,0.8,6.32,1.623,0.7,7.02,1.529,0.8,8.46,1.678,1.1,10.01,1.701,1.4,11.2,1.713
11,New,C,"253,529","803,673",684.7,Yes,Envision,"V117-3.0MW-3,000","3,000",117,80,OT36,USER,Power Mode = 3000; Serrations = True,OT36,"13,725.10",93.3889,1,0.8,8.97,98.6,0,0,,10.11,1.932,6.36,1.736,2.4,6.15,1.627,1.8,6.45,1.486,1.4,6.71,1.471,1.2,6.53,1.479,1.1,6.58,1.432,0.9,7.14,1.9,1.1,7.21,1.947,1,6.9,1.779,0.8,6.5,1.631,0.7,7.18,1.529,0.9,8.69,1.682,1.2,10.27,1.705,1.5,11.42,1.713
12,New,C,"254,202","803,779",645.6,Yes,Envision,"V117-3.0MW-3,000","3,000",117,80,OT37,USER,Power Mode = 3000; Serrations = True,OT37,"13,030.91",94.7469,1,1.3,8.43,97.7,0,0,,9.5,1.928,6.25,1.771,2.7,6.17,1.654,2.1,6.5,1.486,1.6,6.64,1.471,1.4,6.44,1.467,1.2,6.54,1.557,1,6.76,1.936,1.1,6.59,1.908,1,6.1,1.725,0.7,5.67,1.596,0.6,6.4,1.529,0.8,7.65,1.697,1.1,8.87,1.705,1.3,9.92,1.717
13,New,C,"254,208","804,302",652.4,Yes,Envision,"V117-3.0MW-3,000","3,000",117,80,OT38,USER,Power Mode = 3000; Serrations = True,OT38,"13,374.63",93.6035,1,0.9,8.74,98.1,0,0,,9.85,1.924,6.62,1.76,2.8,6.53,1.627,2.1,6.82,1.482,1.6,6.83,1.471,1.4,6.58,1.459,1.1,6.69,1.604,1,6.82,1.936,1,6.62,1.908,0.9,6.16,1.732,0.7,5.71,1.6,0.6,6.45,1.529,0.7,7.68,1.67,1,8.97,1.693,1.2,10.24,1.713
14,New,C,"251,215","802,400",677.1,Yes,Envision,"V117-3.0MW-3,000","3,000",117,80,OT41,USER,Power Mode = 3000; Serrations = True,OT41,"13,890.93",98.4861,1,1,8.66,98,0,0,,9.76,1.908,6.47,1.83,2.7,6.42,1.701,2.4,6.72,1.518,1.9,7.11,1.471,1.6,6.94,1.467,1.4,7.11,1.6,1.2,7.22,1.939,1.2,6.8,1.85,0.9,6.15,1.674,0.7,6.04,1.553,0.7,6.72,1.576,0.8,7.59,1.713,1,8.72,1.717,1.2,9.5,1.717
15,New,C,"251,716","802,751",671.2,Yes,Envision,"V117-3.0MW-3,000","3,000",117,80,OT43,USER,Power Mode = 3000; Serrations = True,OT43,"13,338.28",95.6456,1,1.2,8.54,97.8,0,0,,9.63,1.92,5.98,1.768,2.4,5.89,1.682,2,6.16,1.51,1.6,6.5,1.475,1.4,6.51,1.479,1.3,6.6,1.436,1.1,7.17,1.893,1.2,7.2,1.943,1.1,6.69,1.729,0.9,6.31,1.576,0.7,7.22,1.561,0.9,8.54,1.705,1.2,9.73,1.713,1.5,10.49,1.791
16,New,C,"252,488","802,622",692.7,Yes,Envision,"V117-3.0MW-3,000","3,000",117,80,OT44,USER,Power Mode = 3000; Serrations = True,OT44,"13,735.29",96.5324,1,1,8.69,98.1,0,0,,9.8,1.924,6.14,1.717,2.2,5.96,1.6,1.7,6.1,1.486,1.3,6.24,1.471,1.1,6.08,1.479,1.1,6.15,1.432,0.9,6.66,1.818,1,6.85,1.943,1,6.75,1.83,0.9,6.46,1.666,0.7,6.96,1.533,0.8,8.56,1.654,1.2,10.28,1.701,1.6,11.59,1.732
17,New,C,"253,107","803,083",686.8,Yes,Envision,"V117-3.0MW-3,000","3,000",117,80,OT46,USER,Power Mode = 3000; Serrations = True,OT46,"13,798.11",94.8604,1,0.9,8.87,98.4,0,0,,10.01,1.932,6.36,1.74,2.4,6.12,1.643,1.8,6.41,1.49,1.4,6.7,1.471,1.3,6.53,1.479,1.2,6.59,1.432,1,7.14,1.904,1.1,7.21,1.951,1,6.85,1.768,0.8,6.41,1.619,0.7,7.14,1.533,0.9,8.63,1.693,1.2,10.17,1.709,1.4,11.17,1.713
